Signal,ProducerPath,Function,ScheduleRate,PublishCondition,ExpectedProducerRate,LoggerRate,TargetRate,Status,Evidence,RequiredChange
differential_pressure,src/drivers/differential_pressure/ms4525do/MS4525DO.cpp,MS4525DO::RunImpl,"2 ms conversion wait + 10 ms inter-cycle","each valid normal/stale paired read",~83 Hz,"default 1 Hz; flapping profile absent","minimum 50 Hz; recommended 60-83 Hz",PARTIAL,"MS4525DO.cpp:115-125,175-176,199-227; topic fields timestamp_sample/timestamp/differential_pressure_pa/temperature/error_count","log all producer samples in flight profile; retain sample timestamp"
airspeed,src/modules/sensors/sensors.cpp,Sensors::diff_pres_poll,callback/poll with 50 ms accumulation window,"window elapsed and valid selected differential pressure",~20 Hz,"default 1 Hz; flapping profile absent","minimum 20 Hz; recommended 50 Hz",PARTIAL,"sensors.cpp:261-304,334-342; publishes airspeed.timestamp_sample and IAS/TAS","add full-rate raw airspeed logging; redesign producer only if 50 Hz is required"
indicated_airspeed_m_s,src/modules/sensors/sensors.cpp,Sensors::diff_pres_poll,50 ms window,"same airspeed publication",~20 Hz,"airspeed default 1 Hz","minimum 20 Hz; recommended 50 Hz",PARTIAL,"sensors.cpp:305-342; airspeed.indicated_airspeed_m_s","same as airspeed"
true_airspeed_m_s,src/modules/sensors/sensors.cpp,Sensors::diff_pres_poll,50 ms window,"same airspeed publication",~20 Hz,"airspeed default 1 Hz","minimum 20 Hz; recommended 50 Hz",PARTIAL,"sensors.cpp:305-342; airspeed.true_airspeed_m_s","same as airspeed"
calibrated_airspeed_m_s,src/modules/airspeed_selector/airspeed_selector_main.cpp,AirspeedSelector::Run,100 ms interval,"selector output update",~10 Hz,"airspeed_validated default 5 Hz; flapping full rate",20-50 Hz,FAIL,"airspeed_selector_main.cpp:76,294,673-889; airspeed_validated.calibrated_airspeed_m_s","raise producer/callback rate with CPU and validity timing review"
validated_true_airspeed_m_s,src/modules/airspeed_selector/airspeed_selector_main.cpp,AirspeedSelector::Run,100 ms interval,"selector output update",~10 Hz,"default 5 Hz; flapping full rate",20-50 Hz,FAIL,"airspeed_selector_main.cpp:76,294,673-889; airspeed_validated.true_airspeed_m_s","raise producer rate and preserve source/rejection metadata"
encoder_count,src/drivers/encoder/as5600/AS5600.cpp,AS5600::RunImpl,10 ms interval,"after second valid angle sample and valid dt",~100 Hz,"flapping full producer",90-100 Hz,PASS,"AS5600.cpp:120,162-202,217-239; encoder_count.timestamp/position_raw/total_count","set FLAP_RATIO=8.0; bench-check drops and timestamp jitter"
rpm,src/drivers/encoder/as5600/AS5600.cpp,AS5600::RunImpl,10 ms interval,"valid raw angle delta and dt",~100 Hz,"default 5 Hz; flapping full producer",90-100 Hz,PARTIAL,"AS5600.cpp:184-202,226-239; rpm.rpm_estimate","use flapping profile and verify SD throughput"
flap_frequency,src/drivers/encoder/as5600/AS5600.cpp,AS5600::RunImpl,10 ms interval,"finite filtered RPM and ratio > epsilon",~100 Hz,"default 20 Hz; flapping full producer",90-100 Hz,FAIL,"AS5600.cpp:208-215; flap_frequency.flap_frequency_hz; module.yaml:18 defaults 7.5","change all production/test defaults to confirmed ratio 8.0"
wing_phase,src/modules/wing_phase/WingPhase.cpp,WingPhase::Run,5 ms scheduler,"only when new encoder_count; invalid before first Hall zero",~100 Hz,"flapping full producer",90-100 Hz,PARTIAL,"WingPhase.cpp:114,139-163,206-232; wing_phase.timestamp/phase/unwrapped_phase/valid","enable and validate Hall capture; add explicit timeout/reason/counter"
hall_event,src/drivers/rpm_capture/RPMCapture.cpp,RPMCapture::Run,event-driven GPIO ISR,"new interrupt flag; one publication per serviced flag",event-driven,"not configured anywhere",event-driven,FAIL,"RPMCapture.cpp:108-115,154-172; hall_event.timestamp/pulse_count; RPM_CAP_ENABLE default 0","configure RPM input and startup; queue/retain every edge; log event topic"
ekf2_airspeed_quality,src/modules/ekf2/EKF2.cpp,EKF2::UpdateAirspeedSample,event-driven by raw and validated airspeed,"new accepted airspeed sample; publication if estimator timestamp advances","static estimate 20-30 Hz mixed; NEEDS RUNTIME VERIFICATION","default 10 Hz; flapping full producer","minimum 20 Hz; recommended 50 Hz",PARTIAL,"EKF2.cpp:2755-2777,2862-2918,2926-3030; quality fields in msg/Ekf2AirspeedQuality.msg","define a single uniform 50 Hz input and explicit actual input rate/sample timestamp"
