Topic,Producer,ProducerSchedule,PublishCondition,ExpectedProducerRate,LoggerRequestedRate,TargetRate,Status,RequiredChangeLocation
differential_pressure,"MS4525DO::RunImpl; multi-instance","2 ms conversion + 10 ms delay","each valid measurement",~83 Hz,"default 1 Hz; absent from FLAPPING_DATASET","50 Hz minimum; 60-83 Hz recommended",FAIL,src/modules/logger/logged_topics.cpp:add_flapping_dataset_topics
airspeed,Sensors::diff_pres_poll,"50 ms averaging window","valid pressure window",~20 Hz,"default 1 Hz; absent from FLAPPING_DATASET","20 Hz minimum; 50 Hz recommended",FAIL,src/modules/logger/logged_topics.cpp:add_flapping_dataset_topics
airspeed_validated,AirspeedSelector::Run,100 ms interval,"selector cycle",~10 Hz,"default 5 Hz; FLAPPING_DATASET full rate","20 Hz minimum; 50 Hz recommended",FAIL,"producer in src/modules/airspeed_selector/airspeed_selector_main.cpp; logger already full under profile"
encoder_count,AS5600::RunImpl,10 ms interval,"valid angle delta/dt after initialization",~100 Hz,"FLAPPING_DATASET full rate",90-100 Hz,PASS,"no logger change; bench-check dropouts"
flap_frequency,AS5600::RunImpl,10 ms interval,"finite filtered RPM and valid ratio",~100 Hz,"default 20 Hz; FLAPPING_DATASET full rate",90-100 Hz,PASS,"fix ratio in src/drivers/encoder/as5600 first"
wing_phase,WingPhase::Run,"5 ms schedule; new encoder gated","new encoder; invalid until Hall zero",~100 Hz,"FLAPPING_DATASET full rate",90-100 Hz,PARTIAL,"Hall startup/schema/reliability; no logger interval change"
hall_event,RPMCapture::Run,event driven,"interrupt serviced",event driven,not logged,event driven,FAIL,"src/modules/logger/logged_topics.cpp and Hall uORB queue/capture path"
ekf2_airspeed_quality,EKF2::UpdateAirspeedSample,"raw/validated event driven","estimator timestamp advances","~20-30 Hz mixed; runtime verification","default 10 Hz; FLAPPING_DATASET full rate","20 Hz minimum; 50 Hz recommended",PARTIAL,"define single 50 Hz producer/input contract; add sample/source/update fields"
estimator_aid_src_airspeed,Ekf::updateAirspeed,"EKF airspeed aid update","topic only advertised with EKF2_LOG_VERBOSE=1 and EKF2_ARSP_THR>0",producer-dependent,"default 10 Hz; absent from FLAPPING_DATASET","20 Hz minimum; 50 Hz recommended",FAIL,"src/modules/logger/logged_topics.cpp plus flight parameter/config validation"
estimator_status_flags,EKF2/status publication,event/status dependent,"status update; 10 ms logger is only cap",producer-dependent,"default requested 100 Hz; absent from FLAPPING_DATASET","10 Hz minimum; 20 Hz recommended",PARTIAL,"confirm producer rate at bench; add compact fusion status if event semantics insufficient"
airspeed_selector_status,NOT FOUND,NOT IMPLEMENTED,NOT IMPLEMENTED,0 Hz,not logged,"20 Hz minimum; 50 Hz recommended",NOT_IMPLEMENTED,"add selector outcome uORB message/publisher/logger"
wind,EKF2,estimator update,"state publication",estimator-dependent,"default 1 Hz; FLAPPING_DATASET full rate",20 Hz,PARTIAL,"FLAPPING_DATASET sufficient only after SD/producer runtime verification"
airspeed_wind,AirspeedSelector/AirspeedValidator,multi-instance selector cycle,"source validator update",~10 Hz,"default 1 Hz; FLAPPING_DATASET full rate",20 Hz,FAIL,"raise selector producer; log all relevant instances"
tecs_status,FwLateralLongitudinalControl,controller run,"TECS status publication",~50 Hz typical,"default 5 Hz; absent from FLAPPING_DATASET","20 Hz minimum; 50 Hz recommended",FAIL,src/modules/logger/logged_topics.cpp:add_flapping_dataset_topics
fixed_wing_lateral_guidance_status,FixedWingModeManager,local-position/control run,"guidance update",~50 Hz typical,"default 10 Hz; absent from FLAPPING_DATASET","20 Hz minimum; 50 Hz recommended",FAIL,src/modules/logger/logged_topics.cpp:add_flapping_dataset_topics
fixed_wing_lateral_status,FwLateralLongitudinalControl,controller run,"lateral controller status",~50 Hz typical,"default 10 Hz; absent from FLAPPING_DATASET","20 Hz minimum; 50 Hz recommended",FAIL,src/modules/logger/logged_topics.cpp:add_flapping_dataset_topics
fixed_wing_lateral_setpoint,FixedWingModeManager,mode/control run,"setpoint update",~50 Hz typical,"default full producer; absent explicit FLAPPING_DATASET but retained when DEFAULT combined",20-50 Hz,PARTIAL,"require DEFAULT+FLAPPING profile or add explicitly and document profile"
fixed_wing_longitudinal_setpoint,FixedWingModeManager,mode/control run,"setpoint update",~50 Hz typical,"default full producer",20-50 Hz,PARTIAL,"same profile requirement"
vehicle_attitude,attitude estimator,estimator publication,"estimator update",100-200+ Hz,"default 20 Hz; FLAPPING_DATASET full rate","current producer sufficient; no increase required",PASS,"retain profile; verify bandwidth"
vehicle_angular_velocity,sensors/estimator,high-rate publication,"sensor update",100-200+ Hz,"default 50 Hz; FLAPPING_DATASET full rate","current producer sufficient; no increase required",PASS,"no increase required"
vehicle_attitude_setpoint,FwLateralLongitudinalControl,controller run,"controller can run",~50 Hz,"default 20 Hz; absent explicit FLAPPING_DATASET",20-50 Hz,PARTIAL,"add explicitly or mandate DEFAULT+FLAPPING profile"
vehicle_rates_setpoint,FixedwingAttitudeControl,controller run,"attitude controller update",~50-100 Hz,"default 50 Hz; absent explicit FLAPPING_DATASET",20-50 Hz,PASS,"retain DEFAULT+FLAPPING and verify timestamp alignment"
vehicle_torque_setpoint,FixedwingRateControl,rate controller run,"rate controller update",~100+ Hz,"FLAPPING_DATASET full producer",50-100 Hz,PASS,"no increase required"
vehicle_thrust_setpoint,FixedwingRateControl/control chain,rate/controller run,"controller update",~50-100 Hz,"FLAPPING_DATASET full producer",50-100 Hz,PASS,"no increase required"
